AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Tualatin River Subbasin,USGS-452547122465900,"DERRY DELL CREEK AT SW WALNUT ST, TIGARD, OR",45.42956,-122.7843,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14205400,"EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR",45.68234,-123.0696,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,10469,Fanno Creek at Bonita Road (Tigard),45.41547,-122.7528,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206950,"FANNO CREEK AT DURHAM, OR",45.40345,-122.7548,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Tualatin River Subbasin,USGS-452738122474100,"FANNO CREEK AT GREENWAY PARK, AT SW HALL BLVD",45.46061,-122.7948,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Tualatin River Subbasin,USGS-452718122474700,"FANNO CREEK AT GREENWAY PARK, NEAR SW PEARSON CT",45.45512,-122.7963,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Tualatin River Subbasin,USGS-14206925,FANNO CREEK AT SCHOLLS FERRY ROAD NEAR ALLEN BLVD,45.47095,-122.7748,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Tualatin River Subbasin,USGS-453040123065201,"GALES CREEK AT OLD HWY 47, FOREST GROVE, OR",45.51088,-123.1157,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-14204530,"GALES CREEK AT ROUTE 47 AT FOREST GROVE, OR",45.51067,-123.1157,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-453229123101101,GALES CREEK AT STRINGTOWN,45.54131,-123.1696,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-453158123001701,MCKAY CREEK AT PADGETT RD,45.5327,-123.0047,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,MCKAY@PADGETT,MCKAY CREEK AT PADGETT RD,,,All other basin waters,6,8.5,,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206180,"MCKAY CREEK NEAR HILLSBORO,OREG.",45.54289,-123.0043,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-452301122442301,NYBERG CREEK AT BROWNS FERRY PARK,45.38367,-122.7398,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-453030122560101,"ROCK CREEK AT BROOKWOOD AVENUE, HILLSBORO, OR",45.50819,-122.9335,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14202980,"SCOGGINS CK BLW HENRY HAGG LAKE, NR GASTON, OR",45.46928,-123.2001,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-14206445,See new number 14206347,45.52373,-122.9093,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
